Y,Date
-1.156749762,Jan-80
-1.348484548,Feb-80
-1.488257193,Mar-80
-1.470027521,Apr-80
-1.166301967,May-80
-1.104111579,Jun-80
-1.193552851,Jul-80
-1.451128142,Aug-80
-1.130741846,Sep-80
-1.072193696,Oct-80
-0.905076445,Nov-80
-0.600856528,Dec-80
-0.50040567,Jan-81
-0.70797555,Feb-81
-0.778048451,Mar-81
-0.985148103,Apr-81
-1.098725912,May-81
-1.312336246,Jun-81
-1.287236056,Jul-81
-0.675212117,Aug-81
-1.003519641,Sep-81
-1.441909984,Oct-81
-1.009611914,Nov-81
-0.975213539,Dec-81
-0.611119893,Jan-82
-0.484196281,Feb-82
-0.530194475,Mar-82
-0.651120874,Apr-82
-0.43556083,May-82
-0.445685221,Jun-82
-0.964253556,Jul-82
-1.148207022,Aug-82
-0.774932152,Sep-82
-1.038682284,Oct-82
-1.009112022,Nov-82
-1.207559543,Dec-82
-1.142336117,Jan-83
-1.018104153,Feb-83
-1.418330808,Mar-83
-1.369118895,Apr-83
-1.499429916,May-83
-1.096585189,Jun-83
-1.074596944,Jul-83
-1.188551827,Aug-83
-1.31819912,Sep-83
-1.330010729,Oct-83
-1.035427018,Nov-83
-0.857300541,Dec-83
-0.863761586,Jan-84
-0.610470227,Feb-84
-0.15959338,Mar-84
-0.163984251,Apr-84
-0.219071915,May-84
-0.177402697,Jun-84
0.144858013,Jul-84
-0.115424417,Aug-84
-0.017773309,Sep-84
-0.042635429,Oct-84
-0.339869136,Nov-84
-0.490706414,Dec-84
-0.558719456,Jan-85
-0.644755055,Feb-85
-0.698796837,Mar-85
-0.727009143,Apr-85
-0.452000082,May-85
-0.492913026,Jun-85
-0.602933548,Jul-85
-0.677055683,Aug-85
-0.667590374,Sep-85
-0.67039143,Oct-85
-0.462113904,Nov-85
-0.666281518,Dec-85
-0.632678422,Jan-86
-0.60626903,Feb-86
-0.734533782,Mar-86
-0.854626041,Apr-86
-0.06144105,May-86
0.365249105,Jun-86
-0.141125184,Jul-86
-0.247486397,Aug-86
-0.441452034,Sep-86
-0.587177279,Oct-86
-0.468791196,Nov-86
-0.484711681,Dec-86
-0.376293443,Jan-87
-0.372216201,Feb-87
-0.259482771,Mar-87
-0.896251439,Apr-87
-0.774913486,May-87
-1.012196152,Jun-87
-1.289129501,Jul-87
-1.333966316,Aug-87
-1.654039666,Sep-87
-1.544098087,Oct-87
-0.792677323,Nov-87
-0.79531153,Dec-87
-0.985713989,Jan-88
-0.552710477,Feb-88
-0.881722704,Mar-88
-1.132233549,Apr-88
-1.287507008,May-88
-1.592712445,Jun-88
-1.592204586,Jul-88
-1.622121924,Aug-88
-1.462989907,Sep-88
-1.107136923,Oct-88
-1.126988941,Nov-88
-1.088350803,Dec-88
-1.052494881,Jan-89
-0.965870107,Feb-89
-0.663657829,Mar-89
